Variable,PBG2021,bienes_2021,servicios_2021,agro_2021,industria_2021,PBG2022,bienes_2022,servicios_2022,agro_2022,industria_2022,poblacion,PBG_per_capita,Peso_Agro,Peso_Industria,Peso_Servicios,Variacion_Total,Variacion_Bienes,Variacion_Servicios,variacion_pbg,pbg_per_capita
PBG2021,1,0.933,0.975,-0.286,0.926,1,0.941,0.976,-0.294,0.933,0.956,-0.232,-0.576,0.552,0.355,0.034,0.028,0.02,0.034,-0.232
bienes_2021,0.933,1,0.832,-0.209,0.973,0.93,0.998,0.835,-0.219,0.973,0.809,-0.009,-0.535,0.684,0.139,-0.011,-0.026,0.079,-0.011,-0.009
servicios_2021,0.975,0.832,1,-0.299,0.831,0.977,0.845,1,-0.307,0.841,0.975,-0.348,-0.562,0.431,0.468,0.056,0.054,-0.017,0.056,-0.348
agro_2021,-0.286,-0.209,-0.299,1,-0.365,-0.292,-0.227,-0.301,0.981,-0.368,-0.309,0.402,0.614,-0.399,-0.411,-0.303,-0.331,-0.102,-0.303,0.402
industria_2021,0.926,0.973,0.831,-0.365,1,0.922,0.972,0.832,-0.369,0.999,0.823,-0.042,-0.579,0.723,0.173,0.025,0.026,0.067,0.025,-0.042
PBG2022,1,0.93,0.977,-0.292,0.922,1,0.94,0.978,-0.298,0.93,0.957,-0.241,-0.581,0.552,0.361,0.052,0.044,0.031,0.052,-0.241
bienes_2022,0.941,0.998,0.845,-0.227,0.972,0.94,1,0.848,-0.23,0.974,0.824,-0.033,-0.545,0.681,0.154,0.03,0.016,0.089,0.03,-0.033
servicios_2022,0.976,0.835,1,-0.301,0.832,0.978,0.848,1,-0.309,0.842,0.972,-0.35,-0.568,0.437,0.47,0.062,0.057,-0.004,0.062,-0.35
agro_2022,-0.294,-0.219,-0.307,0.981,-0.369,-0.298,-0.23,-0.309,1,-0.372,-0.315,0.421,0.632,-0.391,-0.447,-0.163,-0.206,-0.051,-0.163,0.421
industria_2022,0.933,0.973,0.841,-0.368,0.999,0.93,0.974,0.842,-0.372,1,0.834,-0.056,-0.584,0.719,0.184,0.033,0.033,0.069,0.033,-0.056
poblacion,0.956,0.809,0.975,-0.309,0.823,0.957,0.824,0.972,-0.315,0.834,1,-0.373,-0.532,0.41,0.429,0.065,0.066,-0.012,0.065,-0.373
PBG_per_capita,-0.232,-0.009,-0.348,0.402,-0.042,-0.241,-0.033,-0.35,0.421,-0.056,-0.373,1,0.575,-0.026,-0.761,-0.179,-0.173,0.003,-0.179,1
Peso_Agro,-0.576,-0.535,-0.562,0.614,-0.579,-0.581,-0.545,-0.568,0.632,-0.584,-0.532,0.575,1,-0.693,-0.675,-0.223,-0.222,-0.18,-0.223,0.575
Peso_Industria,0.552,0.684,0.431,-0.399,0.723,0.552,0.681,0.437,-0.391,0.719,0.41,-0.026,-0.693,1,0.024,0.097,0.063,0.211,0.097,-0.026
Peso_Servicios,0.355,0.139,0.468,-0.411,0.173,0.361,0.154,0.47,-0.447,0.184,0.429,-0.761,-0.675,0.024,1,0.105,0.136,-0.055,0.105,-0.761
Variacion_Total,0.034,-0.011,0.056,-0.303,0.025,0.052,0.03,0.062,-0.163,0.033,0.065,-0.179,-0.223,0.097,0.105,1,0.914,0.513,1,-0.179
Variacion_Bienes,0.028,-0.026,0.054,-0.331,0.026,0.044,0.016,0.057,-0.206,0.033,0.066,-0.173,-0.222,0.063,0.136,0.914,1,0.273,0.914,-0.173
Variacion_Servicios,0.02,0.079,-0.017,-0.102,0.067,0.031,0.089,-0.004,-0.051,0.069,-0.012,0.003,-0.18,0.211,-0.055,0.513,0.273,1,0.513,0.003
variacion_pbg,0.034,-0.011,0.056,-0.303,0.025,0.052,0.03,0.062,-0.163,0.033,0.065,-0.179,-0.223,0.097,0.105,1,0.914,0.513,1,-0.179
pbg_per_capita,-0.232,-0.009,-0.348,0.402,-0.042,-0.241,-0.033,-0.35,0.421,-0.056,-0.373,1,0.575,-0.026,-0.761,-0.179,-0.173,0.003,-0.179,1
